No.,ID Articulo,Codigo Fabricante,Nombre del Articulo,MEDIDAS ,Categoría,Proveedor,Ubicación,Teléfono,Contacto, Precio Compra Sin  IVA, IVA,Precio de Compra Con IVA (Neto),% a Ganar,Utilidad,Es compra Interna?,"Open Pay
(2.99% + 2.5)","IVA 
Open Pay",Comisión Tienda Nube,Total Comisiones,% Descuento En Pago Con Transferencia,Precio de Venta con IVA,,IVA a Desglozar,Precio de Vta. Sin IVA,Ganancia Real,,,,,,,,,Calcula ID,,,,,,,,,
0018,OL-DUR-DUL-0018,OL-DUR-DUL-0018,DURAZNO EN ALMIBAR DE 4 KG. ,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ -   , $ -  .00 , $ -   ,0.00%, $ -   ,, $ 2.50 , $ 0.40 , $ 2.66 , $ 5.56 ,50.00%,$6,,$0.77,$5,$5,,,,,,,,,OL,DUR,DUL,-,0018,,0,0,,18
0019,OL-DUR-DUL-0019,OL-DUR-DUL-0019,DURAZNO EN ALMIBAR DE 2 KG. ,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ 210 , $ 40.00 , $ 250.00 ,45.00%, $ 112.50 ,, $ 9.75 , $ 1.56 , $ 10.08 , $ 21.39 ,2.79%,$384,,$52.95,$331,$121,,,,,,,,,OL,DUR,DUL,-,0019,,0,0,,19
0020,OL-DUR-DUL-0020,OL-DUR-DUL-0020,DURAZNO EN ALMIBAR DE 1 KG. ,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ 105 , $ 20.00 , $ 125.00 ,45.00%, $ 56.25 ,, $ 6.13 , $ 0.98 , $ 6.37 , $ 13.47 ,3.46%,$195,,$26.86,$168,$63,,,,,,,,,OL,DUR,DUL,-,0020,,0,0,,20
0021,OL-DUR-DUL-0021,OL-DUR-DUL-0021,DURAZNO EN ALMIBAR DE 1/2 KG. ,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ 59 , $ 11.20 , $ 70.00 ,45.00%, $ 31.50 ,, $ 4.53 , $ 0.72 , $ 4.74 , $ 9.99 ,4.48%,$111,,$15.38,$96,$37,,,,,,,,,OL,DUR,DUL,-,0021,,0,0,,21
0022,OL-DUR-DUL-0022,OL-DUR-DUL-0022,DURAZNO RAJA/MITADES EN ALMIBAR DE 1KG,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ 114 , $ 21.76 , $ 136.00 ,45.00%, $ 61.20 ,, $ 6.44 , $ 1.03 , $ 6.69 , $ 14.17 ,3.35%,$211,,$29.15,$182,$68,,,,,,,,,OL,DUR,DUL,-,0022,,0,0,,22
0023,OL-MAC-DUL-0023,OL-MAC-DUL-0023,"MACEDONIA EN ALMIBAR DE 1 KG COMBINACIÒN DE FRUTAS DE HIGO, PERA, DURAZNO ",,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ 114 , $ 21.76 , $ 136.00 ,45.00%, $ 61.20 ,, $ 6.44 , $ 1.03 , $ 6.69 , $ 14.17 ,3.35%,$211,,$29.15,$182,$68,,,,,,,,,OL,MAC,DUL,-,0023,,0,0,,23
0024,OL-MAC-DUL-0024,OL-MAC-DUL-0024,"MACEDONIA EN ALMIBAR DE 1/2 KG COMBINACIÒN DE FRUTAS DE HIGO, PERA, DURAZNO",,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ -   , $ -  .00 , $ -   ,0.00%, $ -   ,, $ 2.50 , $ 0.40 , $ 2.66 , $ 5.56 ,50.00%,$6,,$0.77,$5,$5,,,,,,,,,OL,MAC,DUL,-,0024,,0,0,,24
0025,OL-PER-DUL-0025,OL-PER-DUL-0025,PERAS EN ALMIBAR DE 1 KG ,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ 97 , $ 18.40 , $ 115.00 ,45.00%, $ 51.75 ,, $ 5.84 , $ 0.93 , $ 6.07 , $ 12.84 ,3.57%,$180,,$24.77,$155,$58,,,,,,,,,OL,PER,DUL,-,0025,,0,0,,25
0026,OL-PER-DUL-0026,OL-PER-DUL-0026,PERAS EN ALMIBAR DE 1/2 KG ,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ 55 , $ 10.56 , $ 66.00 ,45.00%, $ 29.70 ,, $ 4.41 , $ 0.71 , $ 4.62 , $ 9.74 ,4.62%,$105,,$14.54,$91,$35,,,,,,,,,OL,PER,DUL,-,0026,,0,0,,26
0027,OL-MEM-DUL-0027,OL-MEM-DUL-0027,MEMBRILLOS EN ALMIBAR DE 1/2 KG ,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ 59 , $ 11.20 , $ 70.00 ,45.00%, $ 31.50 ,, $ 4.53 , $ 0.72 , $ 4.74 , $ 9.99 ,4.48%,$111,,$15.38,$96,$37,,,,,,,,,OL,MEM,DUL,-,0027,,0,0,,27
