sku,nombre,precio,costo,categoria,mpn,proveedor,ubicacion,ancho_cm,alto_cm,detalles
OL-DUR-DUL-0015,DURAZNO PRENSADO CON CHILE DE 150 GRS,6,,DULCES TIPICOS Y ALIMENTOS,OL-DUR-DUL-0015,El Huerto,UCAREO,,,"{""proveedor_contacto"":""Yadira Mendoza Soto"",""proveedor_telefono"":""4434101030"",""financiero_2023"":{""numero_control"":""0015"",""iva_compra"":0,""porcentaje_a_ganar"":0,""openpay_comision"":2.5,""openpay_iva"":0.4,""comision_tienda_nube"":2.66,""total_comisiones"":5.56,""descuento_pago_transferencia_pct"":50,""iva_venta_desglosar"":0.77,""precio_venta_sin_iva"":5,""ganancia_real"":5,""_nota"":""Congelado del control de Excel 2023. No se recalcula ni se sincroniza.""}}"
OL-PER-DUL-0016,PERA PRENSADA CON CHILE DE 150 GRS,6,,DULCES TIPICOS Y ALIMENTOS,OL-PER-DUL-0016,El Huerto,UCAREO,,,"{""proveedor_contacto"":""Yadira Mendoza Soto"",""proveedor_telefono"":""4434101030"",""financiero_2023"":{""numero_control"":""0016"",""iva_compra"":0,""porcentaje_a_ganar"":0,""openpay_comision"":2.5,""openpay_iva"":0.4,""comision_tienda_nube"":2.66,""total_comisiones"":5.56,""descuento_pago_transferencia_pct"":50,""iva_venta_desglosar"":0.77,""precio_venta_sin_iva"":5,""ganancia_real"":5,""_nota"":""Congelado del control de Excel 2023. No se recalcula ni se sincroniza.""}}"
OL-MIX-DUL-0017,MIX FRUTA PRENSADA CHILE DE 150 GR,42,29,DULCES TIPICOS Y ALIMENTOS,OL-MIX-DUL-0017,El Huerto,UCAREO,,,"{""proveedor_contacto"":""Yadira Mendoza Soto"",""proveedor_telefono"":""4434101030"",""financiero_2023"":{""numero_control"":""0017"",""precio_compra_con_iva"":35,""iva_compra"":5.6,""porcentaje_a_ganar"":0,""openpay_comision"":3.52,""openpay_iva"":0.56,""comision_tienda_nube"":3.38,""total_comisiones"":7.46,""descuento_pago_transferencia_pct"":8.78,""iva_venta_desglosar"":5.86,""precio_venta_sin_iva"":37,""ganancia_real"":7,""_nota"":""Congelado del control de Excel 2023. No se recalcula ni se sincroniza.""}}"
OL-DUR-DUL-0018,DURAZNO EN ALMIBAR DE 4 KG.,6,,DULCES TIPICOS Y ALIMENTOS,OL-DUR-DUL-0018,El Huerto,UCAREO,,,"{""proveedor_contacto"":""Yadira Mendoza Soto"",""proveedor_telefono"":""4434101030"",""financiero_2023"":{""numero_control"":""0018"",""iva_compra"":0,""porcentaje_a_ganar"":0,""openpay_comision"":2.5,""openpay_iva"":0.4,""comision_tienda_nube"":2.66,""total_comisiones"":5.56,""descuento_pago_transferencia_pct"":50,""iva_venta_desglosar"":0.77,""precio_venta_sin_iva"":5,""ganancia_real"":5,""_nota"":""Congelado del control de Excel 2023. No se recalcula ni se sincroniza.""}}"
OL-DUR-DUL-0019,DURAZNO EN ALMIBAR DE 2 KG.,384,210,DULCES TIPICOS Y ALIMENTOS,OL-DUR-DUL-0019,El Huerto,UCAREO,,,"{""proveedor_contacto"":""Yadira Mendoza Soto"",""proveedor_telefono"":""4434101030"",""financiero_2023"":{""numero_control"":""0019"",""precio_compra_con_iva"":250,""iva_compra"":40,""porcentaje_a_ganar"":45,""utilidad"":112.5,""openpay_comision"":9.75,""openpay_iva"":1.56,""comision_tienda_nube"":10.08,""total_comisiones"":21.39,""descuento_pago_transferencia_pct"":2.79,""iva_venta_desglosar"":52.95,""precio_venta_sin_iva"":331,""ganancia_real"":121,""_nota"":""Congelado del control de Excel 2023. No se recalcula ni se sincroniza.""}}"
OL-DUR-DUL-0020,DURAZNO EN ALMIBAR DE 1 KG.,195,105,DULCES TIPICOS Y ALIMENTOS,OL-DUR-DUL-0020,El Huerto,UCAREO,,,"{""proveedor_contacto"":""Yadira Mendoza Soto"",""proveedor_telefono"":""4434101030"",""financiero_2023"":{""numero_control"":""0020"",""precio_compra_con_iva"":125,""iva_compra"":20,""porcentaje_a_ganar"":45,""utilidad"":56.25,""openpay_comision"":6.13,""openpay_iva"":0.98,""comision_tienda_nube"":6.37,""total_comisiones"":13.47,""descuento_pago_transferencia_pct"":3.46,""iva_venta_desglosar"":26.86,""precio_venta_sin_iva"":168,""ganancia_real"":63,""_nota"":""Congelado del control de Excel 2023. No se recalcula ni se sincroniza.""}}"
OL-DUR-DUL-0021,DURAZNO EN ALMIBAR DE 1/2 KG.,111,59,DULCES TIPICOS Y ALIMENTOS,OL-DUR-DUL-0021,El Huerto,UCAREO,,,"{""proveedor_contacto"":""Yadira Mendoza Soto"",""proveedor_telefono"":""4434101030"",""financiero_2023"":{""numero_control"":""0021"",""precio_compra_con_iva"":70,""iva_compra"":11.2,""porcentaje_a_ganar"":45,""utilidad"":31.5,""openpay_comision"":4.53,""openpay_iva"":0.72,""comision_tienda_nube"":4.74,""total_comisiones"":9.99,""descuento_pago_transferencia_pct"":4.48,""iva_venta_desglosar"":15.38,""precio_venta_sin_iva"":96,""ganancia_real"":37,""_nota"":""Congelado del control de Excel 2023. No se recalcula ni se sincroniza.""}}"
OL-DUR-DUL-0022,DURAZNO RAJA/MITADES EN ALMIBAR DE 1KG,211,114,DULCES TIPICOS Y ALIMENTOS,OL-DUR-DUL-0022,El Huerto,UCAREO,,,"{""proveedor_contacto"":""Yadira Mendoza Soto"",""proveedor_telefono"":""4434101030"",""financiero_2023"":{""numero_control"":""0022"",""precio_compra_con_iva"":136,""iva_compra"":21.76,""porcentaje_a_ganar"":45,""utilidad"":61.2,""openpay_comision"":6.44,""openpay_iva"":1.03,""comision_tienda_nube"":6.69,""total_comisiones"":14.17,""descuento_pago_transferencia_pct"":3.35,""iva_venta_desglosar"":29.15,""precio_venta_sin_iva"":182,""ganancia_real"":68,""_nota"":""Congelado del control de Excel 2023. No se recalcula ni se sincroniza.""}}"
OL-MAC-DUL-0023,"MACEDONIA EN ALMIBAR DE 1 KG COMBINACIÒN DE FRUTAS DE HIGO, PERA, DURAZNO",211,114,DULCES TIPICOS Y ALIMENTOS,OL-MAC-DUL-0023,El Huerto,UCAREO,,,"{""proveedor_contacto"":""Yadira Mendoza Soto"",""proveedor_telefono"":""4434101030"",""financiero_2023"":{""numero_control"":""0023"",""precio_compra_con_iva"":136,""iva_compra"":21.76,""porcentaje_a_ganar"":45,""utilidad"":61.2,""openpay_comision"":6.44,""openpay_iva"":1.03,""comision_tienda_nube"":6.69,""total_comisiones"":14.17,""descuento_pago_transferencia_pct"":3.35,""iva_venta_desglosar"":29.15,""precio_venta_sin_iva"":182,""ganancia_real"":68,""_nota"":""Congelado del control de Excel 2023. No se recalcula ni se sincroniza.""}}"
OL-MAC-DUL-0024,"MACEDONIA EN ALMIBAR DE 1/2 KG COMBINACIÒN DE FRUTAS DE HIGO, PERA, DURAZNO",6,,DULCES TIPICOS Y ALIMENTOS,OL-MAC-DUL-0024,El Huerto,UCAREO,,,"{""proveedor_contacto"":""Yadira Mendoza Soto"",""proveedor_telefono"":""4434101030"",""financiero_2023"":{""numero_control"":""0024"",""iva_compra"":0,""porcentaje_a_ganar"":0,""openpay_comision"":2.5,""openpay_iva"":0.4,""comision_tienda_nube"":2.66,""total_comisiones"":5.56,""descuento_pago_transferencia_pct"":50,""iva_venta_desglosar"":0.77,""precio_venta_sin_iva"":5,""ganancia_real"":5,""_nota"":""Congelado del control de Excel 2023. No se recalcula ni se sincroniza.""}}"
OL-PER-DUL-0025,PERAS EN ALMIBAR DE 1 KG,180,97,DULCES TIPICOS Y ALIMENTOS,OL-PER-DUL-0025,El Huerto,UCAREO,,,"{""proveedor_contacto"":""Yadira Mendoza Soto"",""proveedor_telefono"":""4434101030"",""financiero_2023"":{""numero_control"":""0025"",""precio_compra_con_iva"":115,""iva_compra"":18.4,""porcentaje_a_ganar"":45,""utilidad"":51.75,""openpay_comision"":5.84,""openpay_iva"":0.93,""comision_tienda_nube"":6.07,""total_comisiones"":12.84,""descuento_pago_transferencia_pct"":3.57,""iva_venta_desglosar"":24.77,""precio_venta_sin_iva"":155,""ganancia_real"":58,""_nota"":""Congelado del control de Excel 2023. No se recalcula ni se sincroniza.""}}"
OL-PER-DUL-0026,PERAS EN ALMIBAR DE 1/2 KG,105,55,DULCES TIPICOS Y ALIMENTOS,OL-PER-DUL-0026,El Huerto,UCAREO,,,"{""proveedor_contacto"":""Yadira Mendoza Soto"",""proveedor_telefono"":""4434101030"",""financiero_2023"":{""numero_control"":""0026"",""precio_compra_con_iva"":66,""iva_compra"":10.56,""porcentaje_a_ganar"":45,""utilidad"":29.7,""openpay_comision"":4.41,""openpay_iva"":0.71,""comision_tienda_nube"":4.62,""total_comisiones"":9.74,""descuento_pago_transferencia_pct"":4.62,""iva_venta_desglosar"":14.54,""precio_venta_sin_iva"":91,""ganancia_real"":35,""_nota"":""Congelado del control de Excel 2023. No se recalcula ni se sincroniza.""}}"
OL-MEM-DUL-0027,MEMBRILLOS EN ALMIBAR DE 1/2 KG,111,59,DULCES TIPICOS Y ALIMENTOS,OL-MEM-DUL-0027,El Huerto,UCAREO,,,"{""proveedor_contacto"":""Yadira Mendoza Soto"",""proveedor_telefono"":""4434101030"",""financiero_2023"":{""numero_control"":""0027"",""precio_compra_con_iva"":70,""iva_compra"":11.2,""porcentaje_a_ganar"":45,""utilidad"":31.5,""openpay_comision"":4.53,""openpay_iva"":0.72,""comision_tienda_nube"":4.74,""total_comisiones"":9.99,""descuento_pago_transferencia_pct"":4.48,""iva_venta_desglosar"":15.38,""precio_venta_sin_iva"":96,""ganancia_real"":37,""_nota"":""Congelado del control de Excel 2023. No se recalcula ni se sincroniza.""}}"
OL-ZAR-DUL-0028,ZARZAMORA EN ALMIBAR DE 1/2KG,6,,DULCES TIPICOS Y ALIMENTOS,OL-ZAR-DUL-0028,El Huerto,UCAREO,,,"{""proveedor_contacto"":""Yadira Mendoza Soto"",""proveedor_telefono"":""4434101030"",""financiero_2023"":{""numero_control"":""0028"",""iva_compra"":0,""porcentaje_a_ganar"":0,""openpay_comision"":2.5,""openpay_iva"":0.4,""comision_tienda_nube"":2.66,""total_comisiones"":5.56,""descuento_pago_transferencia_pct"":50,""iva_venta_desglosar"":0.77,""precio_venta_sin_iva"":5,""ganancia_real"":5,""_nota"":""Congelado del control de Excel 2023. No se recalcula ni se sincroniza.""}}"
OL-TEJ-DUL-0029,TEJOCOTES EN ALMIBAR DE 1KG,225,122,DULCES TIPICOS Y ALIMENTOS,OL-TEJ-DUL-0029,El Huerto,UCAREO,,,"{""proveedor_contacto"":""Yadira Mendoza Soto"",""proveedor_telefono"":""4434101030"",""financiero_2023"":{""numero_control"":""0029"",""precio_compra_con_iva"":145,""iva_compra"":23.2,""porcentaje_a_ganar"":45,""utilidad"":65.25,""openpay_comision"":6.71,""openpay_iva"":1.07,""comision_tienda_nube"":6.96,""total_comisiones"":14.74,""descuento_pago_transferencia_pct"":3.28,""iva_venta_desglosar"":31.03,""precio_venta_sin_iva"":194,""ganancia_real"":72,""_nota"":""Congelado del control de Excel 2023. No se recalcula ni se sincroniza.""}}"
OL-TEJ-DUL-0030,TEJOCOTES EN ALMIBAR DE 1/2KG,142,76,DULCES TIPICOS Y ALIMENTOS,OL-TEJ-DUL-0030,El Huerto,UCAREO,,,"{""proveedor_contacto"":""Yadira Mendoza Soto"",""proveedor_telefono"":""4434101030"",""financiero_2023"":{""numero_control"":""0030"",""precio_compra_con_iva"":90,""iva_compra"":14.4,""porcentaje_a_ganar"":45,""utilidad"":40.5,""openpay_comision"":5.11,""openpay_iva"":0.82,""comision_tienda_nube"":5.33,""total_comisiones"":11.26,""descuento_pago_transferencia_pct"":3.97,""iva_venta_desglosar"":19.55,""precio_venta_sin_iva"":122,""ganancia_real"":47,""_nota"":""Congelado del control de Excel 2023. No se recalcula ni se sincroniza.""}}"
